"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"1",1,1,"Alonso, David Martin",1,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.","univ wisconsin","dept chem & biol engn","53706","madison","wi","usa",NA,"AAC-3364-2019","0000-0002-8937-7407","WOS:000281613900001",1,"J","2010","ROYAL SOC CHEMISTRY"
"2",2,2,"Bond, Jesse Q.",2,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.","univ wisconsin","dept chem & biol engn","53706","madison","wi","usa",NA,NA,"0000-0002-8883-4151","WOS:000281613900001",1,"J","2010","ROYAL SOC CHEMISTRY"
"3",3,3,"Dumesic, James A.",3,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.","univ wisconsin","dept chem & biol engn","53706","madison","wi","usa",NA,NA,NA,"WOS:000281613900001",1,"J","2010","ROYAL SOC CHEMISTRY"
"4",4,4,"Mabee, Warren",2,"Queens Univ, Queens Inst Energy & Environm Policy, Kingston, ON, Canada.","queens univ","queens inst energy & environm policy",NA,"kingston","on","canada",NA,NA,NA,"WOS:000274271400004",2,"J","2010","ELSEVIER SCI LTD"
"5",5,473,"Saddler, Jack N.",3,"Univ British Columbia, Fac Forestry, Vancouver, BC V6T 1W5, Canada.","univ british columbia","fac forestry"," v6t 1w5","bc",NA,"canada",NA,"A-9103-2013",NA,"WOS:000274271400004",2,"J","2010","ELSEVIER SCI LTD"
"6",6,6,"Sims, Ralph E. H.",1,"Massey Univ, Energy Res Ctr, Palmerston North, New Zealand.","massey univ",NA,NA,"energy res ctr","palmerston north","new zealand",NA,NA,NA,"WOS:000274271400004",2,"J","2010","ELSEVIER SCI LTD"
"7",7,7,"Taylor, Michael",4,"Int Energy Agcy, Energy Technol Policy Div, Paris, France.","int energy agcy",NA,NA,"energy technol policy div","paris","france",NA,NA,"0000-0003-0940-3431","WOS:000274271400004",2,"J","2010","ELSEVIER SCI LTD"
"8",8,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"AAE-8287-2020","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"9",9,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"AAE-8287-2020","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"10",10,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"E-8037-2010","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"11",11,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"E-8037-2010","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"12",12,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"F-4674-2014","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"13",13,8,"Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.","univ birmingham","sch geog earth & environm sci","b15 2tt","birmingham ","w midlands","england",NA,"F-4674-2014","0000-0002-2837-8334","WOS:000249413200004",3,"J","2007","ELSEVIER SCI LTD"
"14",14,14,"Chisti, Yusuf",1,"Massey Univ, Sch Engn, Palmerston North, New Zealand.","massey univ",NA,NA,"sch engn","palmerston north","new zealand",NA,NA,"0000-0002-0826-7012","WOS:000324040300002",4,"J","2013","ELSEVIER"
"15",15,6340,"Battin-Leclerc, F.",1,"Nancy Univ, Dept Chim Phys React, CNRS, ENSIC, F-54001 Nancy, France.","nancy univ","dept chim phys react","54001"," nancy",NA,"france",NA,NA,NA,"WOS:000257673700002",5,"J","2008","PERGAMON-ELSEVIER SCIENCE LTD"
"16",16,16,"Curran, Henry J.",11,"NUI Galway, Combust Chem Ctr, Sch Chem, Galway, Ireland.","nui galway","combust chem ctr",NA,"sch chem","galway","ireland",NA,"O-2428-2017","0000-0002-5124-8562","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"17",17,17,"Fernandes, Ravi X.",10,"Rhein Westfal TH Aachen, D-52056 Aachen, Germany.","rhein westfal th aachen",NA,"52056"," aachen",NA,"germany",NA,NA,NA,"WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"18",18,18,"Kohse-Hoeinghaus, Katharina",9,"Univ Bielefeld, Dept Chem, D-33615 Bielefeld, Germany.","univ bielefeld","dept chem","33615"," bielefeld",NA,"germany",NA,"A-3867-2012",NA,"WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"19",19,19,"Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"A-8506-2009","0000-0002-2227-5035","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"20",20,19,"Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"A-8506-2009","0000-0002-2227-5035","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"21",21,19,"Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"A-7968-2019","0000-0002-2227-5035","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"22",22,19,"Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"A-7968-2019","0000-0002-2227-5035","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"23",23,23,"Metcalfe, Wayne K.",6,"NUI Galway, Combust Chem Ctr, Sch Chem, Galway, Ireland.","nui galway","combust chem ctr",NA,"sch chem","galway","ireland",NA,NA,NA,"WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"24",24,24,"Osswald, Patrick",5,"Univ Bielefeld, Dept Chem, D-33615 Bielefeld, Germany.","univ bielefeld","dept chem","33615"," bielefeld",NA,"germany",NA,"N-3377-2013","0000-0002-2257-2988","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"25",25,25,"Pitz, William J.",8,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"F-9763-2011","0000-0003-4238-4500","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"26",26,26,"Sarathy, S. Mani",1,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,"M-5639-2015","0000-0002-3975-6206","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"27",27,27,"Vranckx, Stijn",2,"Rhein Westfal TH Aachen, D-52056 Aachen, Germany.","rhein westfal th aachen",NA,"52056"," aachen",NA,"germany",NA,"HZH-4984-2023","0000-0002-7203-3691","WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"28",28,28,"Westbrook, Charles K.",7,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.","lawrence livermore natl lab","phys & life sci directorate","94550","livermore","ca","usa",NA,NA,NA,"WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"29",29,914,"Yasunaga, Kenji",3,"Natl Def Acad, Dept Appl Chem, Yokosuka, Kanagawa 2398686, Japan.","natl def acad","dept appl chem"," 23986","kanagawa",NA,"japan",NA,NA,NA,"WOS:000303424600002",6,"J","2012","ELSEVIER SCIENCE INC"
"30",30,30,"Bais, A.",9,"Aristotle Univ Thessaloniki, Lab Atmospher Phys, GR-54006 Thessaloniki, Greece.","aristotle univ thessaloniki","lab atmospher phys","54006"," thessaloniki",NA,"greece",NA,"D-2230-2009","0000-0003-3899-2001","WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
"31",31,31,"Berntsen, T.",10,"Univ Oslo, Dept Geosci, N-0315 Oslo, Norway.","univ oslo","dept geosci","0315"," oslo",NA,"norway",NA,NA,"0000-0001-5971-5930","WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
"32",32,32,"Gierens, K.",4,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.","deutsch zentrum luft & raumfahrt dlr","inst phys atmosphare","82234"," oberpfaffenhofen","wessling","germany",NA,NA,NA,"WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
"33",33,33,"Grewe, V.",3,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.","deutsch zentrum luft & raumfahrt dlr","inst phys atmosphare","82234"," oberpfaffenhofen","wessling","germany",NA,"A-6147-2011","0000-0002-8012-6783","WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
"34",34,34,"Iachetti, D.",11,"Univ Aquila, Dipartimento Fis, I-67100 Laquila, Italy.","univ aquila","dipartimento fis","67100"," laquila",NA,"italy",NA,NA,NA,"WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
"35",35,35,"Lee, D. S.",1,"Manchester Metropolitan Univ, Dept Environm & Geog Sci, Dalton Res Inst, Manchester M1 5GD, Lancs, England.","manchester metropolitan univ","dept environm & geog sci","m1 5gd","manchester ","lancs","england",NA,"ABC-4683-2021","0000-0002-5984-8861","WOS:000284389300004",7,"J","2010","PERGAMON-ELSEVIER SCIENCE LTD"
