"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department"
"1",1,1,NA,NA,NA,NA,0,"Alonso, DM","Alonso, David Martin",1,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.",NA,"AAC-3364-2019","0000-0002-8937-7407",NA,1,"Catalytic conversion of biomass to biofuels","GREEN CHEMISTRY","WOS:000281613900001","J","ROYAL SOC CHEMISTRY","2010","univ wisconsin","usa","wi","53706","madison","dept chem & biol engn"
"2",2,2,NA,NA,NA,NA,0,"Bond, JQ","Bond, Jesse Q.",2,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.",NA,NA,"0000-0002-8883-4151",NA,1,"Catalytic conversion of biomass to biofuels","GREEN CHEMISTRY","WOS:000281613900001","J","ROYAL SOC CHEMISTRY","2010","univ wisconsin","usa","wi","53706","madison","dept chem & biol engn"
"3",3,3,NA,NA,NA,NA,0,"Dumesic, JA","Dumesic, James A.",3,"Univ Wisconsin, Dept Chem & Biol Engn, Madison, WI 53706 USA.",NA,NA,NA,NA,1,"Catalytic conversion of biomass to biofuels","GREEN CHEMISTRY","WOS:000281613900001","J","ROYAL SOC CHEMISTRY","2010","univ wisconsin","usa","wi","53706","madison","dept chem & biol engn"
"4",4,4,NA,NA,NA,NA,0,"Mabee, W","Mabee, Warren",2,"Queens Univ, Queens Inst Energy & Environm Policy, Kingston, ON, Canada.",NA,NA,NA,NA,2,"An overview of second generation biofuel technologies","BIORESOURCE TECHNOLOGY","WOS:000274271400004","J","ELSEVIER SCI LTD","2010","queens univ","canada","on",NA,"kingston","queens inst energy & environm policy"
"5",5,473,NA,804,NA,NA,0,"Saddler, JN","Saddler, Jack N.",3,"Univ British Columbia, Fac Forestry, Vancouver, BC V6T 1W5, Canada.",NA,"A-9103-2013",NA,NA,2,"An overview of second generation biofuel technologies","BIORESOURCE TECHNOLOGY","WOS:000274271400004","J","ELSEVIER SCI LTD","2010","univ british columbia","canada",NA," v6t 1w5","bc","fac forestry"
"6",6,6,NA,NA,NA,NA,0,"Sims, REH","Sims, Ralph E. H.",1,"Massey Univ, Energy Res Ctr, Palmerston North, New Zealand.",NA,NA,NA,NA,2,"An overview of second generation biofuel technologies","BIORESOURCE TECHNOLOGY","WOS:000274271400004","J","ELSEVIER SCI LTD","2010","massey univ","new zealand","palmerston north",NA,"energy res ctr",NA
"7",7,7,NA,NA,NA,NA,0,"Taylor, M","Taylor, Michael",4,"Int Energy Agcy, Energy Technol Policy Div, Paris, France.",NA,NA,"0000-0003-0940-3431",NA,2,"An overview of second generation biofuel technologies","BIORESOURCE TECHNOLOGY","WOS:000274271400004","J","ELSEVIER SCI LTD","2010","int energy agcy","france","paris",NA,"energy technol policy div",NA
"8",8,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"AAE-8287-2020","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
"9",9,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"AAE-8287-2020","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
"10",10,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"E-8037-2010","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
